1, 2
1, 3
4, 1
2, 16
4, 2
2, 17
1, 15
2, 15
2, 15
1, 11
4, 3
2, 22
4, 4
2, 22
4, 5
2, 22
4, 6
2, 22
4, 7
2, 22
4, 8
2, 22
4, 9
2, 15
1, 7
4, 10
2, 11
3, 1
4, 11
3, 2
2, 2
3, 2
1, 8
1, 12
3, 3
2, 15
2, 20
1, 7
4, 10
2, 11
3, 2
4, 11
3, 2
2, 2
3, 2
1, 8
1, 12
3, 3
2, 23
1, 7
4, 10
2, 11
3, 1
4, 11
3, 2
2, 2
3, 2
1, 8
1, 12
3, 3
2, 17
1, 11
4, 3
2, 22
4, 4
2, 22
4, 5
2, 22
4, 6
2, 21
2, 15
1, 7
4, 10
2, 11
3, 1
4, 11
3, 2
2, 2
3, 2
1, 8
1, 12
3, 3
2, 15
4, 12
2, 11
3, 2
2, 2
3, 2
2, 15
4, 13
2, 11
3, 2
2, 7
3, 2
2, 15
4, 14
2, 11
3, 2
2, 10
3, 2
2, 15
1, 4
4, 12
2, 2
3, 2
1, 5
4, 12
2, 11
3, 1
1, 6
4, 12
2, 11
3, 4
2, 7
3, 2
1, 1
2, 15
1, 7
4, 12
2, 11
3, 2
4, 11
4, 12
2, 7
3, 3
1, 8
4, 13
2, 11
3, 1
2, 15
1, 11
4, 3
2, 22
4, 4
2, 22
4, 5
2, 22
4, 6
2, 22
4, 7
2, 22
4, 8
2, 22
4, 9
1, 1
